ID,Ojibwe Word,Word Class,English Translation
1,abanzh,ni,"lodge pole, rafter; pi abanzhiin; lac abanzhiing; dim abanzhiins"
2,abashkwebiigininjiishin,vai,get a blister on one's hand; hg indabashkwebiigininjiishin; pn ebashkwebiigininjiishing
3,abashkwebiigizi,vai,have a blister; Isg indabashkwebiigiz; prt ebashkwebiigizid
4,abashkwebiigizideshin,vai,get a blister on one's foot; hg indabashkwebiigizideshin; prt ebashkwebiigizideshing abaabas /abaabasw-/ via cense s.o.; Isg indabaabaswaa; pn ebaabaswaad
8,abaasandeke,vai,bask in the sun; hg indabaasandeke; prt ebaasandeked
10,abaate,vii,warm up (of the weather); prt ebaateg; aug abaatemagad; prt aug ebaatemagak
15,abinoojiinyikaazo,vai,pretend to be a child; hg indabinoojiinyikaaz; pn ebinoojiinyikaazod
28,abwaajige,vai,roast things; hg indabwaajige; pn ebwaajiged
31,abwewasan,vti,cure s.t. over a fire; hg indabwewasaan; prt ebwewasang
32,abwewasigan,ni,fire-cured meat or fish; pi abwewasiganan; loc abwewasiganing; dim abwewasigaans
33,abwewasige,vai,cure things over a fire; hg indabwewasige; pn ebwewasiged
48,adaawewininiikwe,na,"store clerk (female), trader (female); pi adaawewininiikweg"
51,adindan,vti,"catch up to s.t., overtake s.t.; Isg indadindaan; pn edindang"
54,agadendan,vti,be ashamed of s.t.; Isg indagadendaan; pn egadendang
55,agadendaagozi,vai,"be ashamed, be embarrassed; Isg indagadendaagoz; pn egadendaagozid"
56,agadendaagwad,vii,"be shameful, be embarrassing; pn egadendaagwak"
59,agaji',vta,"make s.o. ashamed, embarrass s.o.; Isg indagaji'aa; prt egaji'aad"
60,agajishki,vai,be a shy person; Isg indagajishk; pn egajishkid
62,agawaate'on,ni,umbrella; pi agawaate'onan; loc agawaate'oning; dim agawaate'onens
66,agawaateshkan,vti,"shade s.t., cast a shadow on s.t.; Isg indagawaateshkaan; pn egawaateshkang"
67,agawaateshkaw,vta,"shade s.o., cast a shadow on s.o.; Isg indagawaateshkawaa; pn egawaateshkawaad"
71,agaamakiing,pc,"overseas, in Europe"
72,agaamashkosiw,pc,on the other side of the meadow
73,agaamayi'ii,pc,"on the other side of it, across it"
74,agaamaakwaa,pc,on the other side of the clearing
75,agaami-,pn,"on the other side of, across agaamikanapL on the other side of the road or trail, across the road or trail"
76,agaamindesi,pc,other side of the lodge
77,agaamindesing,pc,"on the other side of the lodge agaamingpc on the other side of the lake, across the lake"
78,agaamishkode,pc,on the other side of the fire
79,agaasade',vta,make s.o. narrow; Isg indagaasade'aa; pn egaasade'aad agaasademon /agaasademo-/ vii be narrow (as a road or trail); pn egaasademog
80,agaasadengwe,vai,have a narrow face; Isg indagaasadengwe; pn egaasadengwed
82,agaasadetoon,vti2,make s.t. narrow; Isg indagaasadetoon; prt egaasadetood
86,agaasadeyaabiigad,vii,be narrow (as something string-like); pn egaasadeyaabiigak
87,agaasadeyaabiigizi,vai,be narrow (as something string-like); pn egaasadeyaabiigizid
95,agaasaabaminaagozi,vai,"appear small, look small; pn egaasaabaminaagozid"
96,agaasaabaminaagwad,vii,"appear small, look small; pn egaasaabaminaagwak"
103,agaasaatoon,vti2,make s.t. small; Isg indagaasaatoon; prt egaasaatood
108,agaasi',vta,make s.o. small; Isg indagaasi'aa; pn egaasi'aad
113,agaawaa,pc,"hardly, barely"
115,agidajiw,pc,"on top of a mountain; also ogidajiw*, wagidajiw"
116,agidakamig,pc,"on top of the ground; also ogidakamig*, wagidakamig"
