powhatan_word,english_translation,word_class,source,license,orthography,notes,audio_url
Nemarough,a man,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Crenepo,a woman,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Marowanchesso,a boy,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Yehawkans,Houses,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Matchcores,Skins or garments,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Mockasins,Shoes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Tussan,Beds,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Pokatawer,Fire,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Attawp,A bow,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Attonce,Arrows,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Monacookes,Swords,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Aumoughhowgh,A Target,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Pawcussacks,Guns,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Tomahacks,Axes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Tockahacks,Pickaxes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Pamesacks,Knives,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Accowprets,Shears,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Pawpecones,Pipes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Mattassin,Copper,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Vssawassin,"Iron, Brass, Silver, or any white metal",n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Musses,Woods,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Attasskuss,"Leaves, weeds, or grass",n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Chepsin,Land,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Shacquohocan,A stone,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Suckahanna,Water,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Noughmass,Fish,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Copotone,Sturgeon,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Weghshaughes,Flesh,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Sawwehone,Blood,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Netoppew,Friends,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Marrapough,Enemies,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Necut,one,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Ningh,two,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nuss,three,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Yowgh,four,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Paranske,five,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Comotinch,six,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Toppawoss,seven,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Nusswash,eight,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Kekatawgh,nine,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Keskeke,ten,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Osies,Heavens,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Okes,Gods,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Aposon,Opossum,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Aquintayne,a boat or canoe,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Assahampehooke,a lobster,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Boketawh,fire,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
peccatoas,Beans,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
woskan,A bone,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
atamasku,under grass (attamasco lily),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
chichinkwemen,rattle nut (chinquapin),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
makasin,shoe (moccasin),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
pasimenan,dried fruit (persimmon),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
pakon,blood (puccoon),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
arakun,he scratches with the hands (raccoon),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
rokehamen,softened (rockahominy),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
tamehakan,chopper (tomahawk),n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Ahone,God,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Apome,the thigh,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Apooke,tobacco,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Apokan,a tobacco pipe,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
Ananson,a mat,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
